콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0251CZE220,8460,E,175,181,2,251,100,23,내장산IC-정읍IC,0,101
0251CZE230,12840,E,181,182,2,251,100,24,정읍IC-태인IC,0,101
0251CZE240,10550,E,182,185,2,251,100,25,태인IC-금산사IC,0,101
0251CZE250,4700,E,185,186,2,251,100,26,금산사IC-김제IC,0,101
0251CZE260,6600,E,186,190,2,251,100,27,김제IC-서전주IC,0,101
0251CZE270,6040,E,190,207,2,251,100,28,서전주IC-전주IC,0,101
0251CZE280,6030,E,207,382,2,251,100,29,전주IC-삼례IC,0,101
0251CZE290,2330,E,382,370,2,251,100,30,삼례IC-익산JC,0,101
0251CZE300,6000,E,370,189,2,251,100,31,익산JC-익산IC,0,101
0251CZE310,10420,E,189,170,2,251,100,32,익산IC-논산JC,0,101
0251CZS010,10010,S,224,222,2,251,100,32,승주IC-서순천IC,0,101
0251CZS020,11810,S,223,224,2,251,100,31,주암IC-승주IC,0,101
0251CZS030,7420,S,226,223,2,251,100,30,석곡IC-주암IC,0,101
0251CZS040,12070,S,196,226,2,251,100,29,곡성IC-석곡IC,0,101
0251CZS050,11430,S,199,196,2,251,100,28,옥과IC-곡성IC,0,101
0251CZS060,7660,S,347,199,2,251,100,27,대덕JC-옥과IC,0,101
0251CZS070,3800,S,198,347,2,251,100,26,창평IC-대덕JC,0,101
0251CZS080,4120,S,197,198,2,251,100,25,고서JC-창평IC,0,101
0251CZS090,2980,S,228,197,2,251,100,24,동광주TG-고서JC,0,101
0251CZS100,1700,S,451,228,2,251,100,23,문흥JC-동광주TG,0,101
0251CZS110,1210,S,218,451,2,251,100,22,동광주IC-문흥JC,0,101
0251CZS120,2820,S,217,218,2,251,100,21,용봉IC-동광주IC,0,101
0251CZS130,1330,S,216,217,2,251,100,20,서광주IC-용봉IC,0,101
0251CZS140,2250,S,219,216,2,251,100,19,동림IC-서광주IC,0,101
0251CZS150,2390,S,452,219,2,251,100,18,산월IC-동림IC,0,101
0251CZS160,1960,S,220,452,2,251,100,17,광산IC-산월IC,0,101
0251CZS170,2000,S,608,220,2,251,100,16,북광산IC-광산IC,0,101
0251CZS175,3550,S,1066,608,2,251,100,15,남장성JC-북광산IC,0,101
0251CZS180,3150,S,191,1066,2,251,100,14,장성IC-남장성JC,0,101
0251CZS190,5340,S,375,191,2,251,100,13,장성JC-장성IC,0,101
0251CZS200,12060,S,202,375,2,251,100,12,백양사IC-장성JC,0,101
0251CZS210,9190,S,175,202,2,251,100,11,내장산IC-백양사IC,0,101
0251CZS220,8460,S,181,175,2,251,100,10,정읍IC-내장산IC,0,101
0251CZS230,12840,S,182,181,2,251,100,9,태인IC-정읍IC,0,101
0251CZS240,10550,S,185,182,2,251,100,8,금산사IC-태인IC,0,101
0251CZS250,4700,S,186,185,2,251,100,7,김제IC-금산사IC,0,101
0251CZS260,6600,S,190,186,2,251,100,6,서전주IC-김제IC,0,101
0251CZS270,6040,S,207,190,2,251,100,5,전주IC-서전주IC,0,101
0251CZS280,6030,S,382,207,2,251,100,4,삼례IC-전주IC,0,101
0251CZS290,2330,S,370,382,2,251,100,3,익산JC-삼례IC,0,101
0251CZS300,6000,S,189,370,2,251,100,2,익산IC-익산JC,0,101
0251CZS310,10420,S,170,189,2,251,100,1,논산JC-익산IC,0,101
0252CZE010,8400,E,170,87,2,252,110,1,논산JC-연무IC,0,109
0252CZE020,8700,E,87,90,2,252,110,2,연무IC-서논산IC,0,109
